aX,aY,aZ,gX,gY,gZ
0.393,-0.953,1.287,66.162,-14.160,-41.260
0.390,-0.885,1.333,73.730,-14.099,-51.270
0.365,-0.788,1.376,83.496,-11.230,-61.646
0.329,-0.768,1.421,98.022,-13.000,-66.162
0.301,-0.783,1.336,109.253,-18.127,-67.017
0.269,-0.812,1.246,122.864,-23.682,-72.205
0.233,-0.814,1.121,138.855,-24.963,-80.933
0.170,-0.810,0.930,153.320,-21.851,-93.689
0.127,-0.734,0.844,164.978,-19.287,-105.347
0.040,-0.648,0.783,164.795,-16.785,-109.253
-0.042,-0.651,0.610,156.982,-16.296,-110.046
-0.074,-0.641,0.566,153.564,-24.353,-107.422
-0.086,-0.581,0.627,152.405,-31.799,-99.854
-0.118,-0.520,0.571,150.635,-29.480,-97.778
-0.161,-0.494,0.591,158.020,-24.902,-97.900
-0.159,-0.465,0.518,167.542,-18.372,-93.628
-0.189,-0.509,0.313,169.250,-11.719,-96.680
-0.204,-0.524,0.280,173.462,-16.663,-101.929
-0.204,-0.482,0.209,179.932,-19.104,-106.567
-0.254,-0.475,0.043,179.077,-16.113,-118.774
-0.305,-0.403,0.013,180.054,-21.606,-125.183
-0.350,-0.310,0.056,184.265,-29.419,-120.911
-0.395,-0.258,-0.165,186.096,-30.518,-116.638
-0.417,-0.236,-0.349,185.059,-42.664,-113.892
-0.485,-0.259,-0.466,179.504,-71.655,-107.849
-0.551,-0.246,-0.701,162.048,-94.727,-102.905
-0.636,-0.218,-0.910,148.682,-111.755,-100.159
-0.739,-0.152,-1.074,146.606,-119.568,-93.323
-0.822,-0.145,-1.315,144.836,-114.563,-88.013
-0.833,-0.070,-1.638,138.062,-106.873,-85.327
-0.907,-0.021,-1.910,127.747,-112.244,-82.703
-0.986,0.010,-2.097,117.798,-125.122,-76.111
-1.022,-0.022,-2.175,99.304,-137.146,-66.101
-1.033,-0.137,-2.136,68.970,-143.677,-47.974
-1.013,-0.310,-1.968,26.733,-139.282,-23.804
-0.928,-0.403,-1.639,-18.616,-121.826,5.981
-0.739,-0.356,-1.301,-52.246,-92.529,36.377
-0.587,-0.475,-1.008,-65.979,-63.232,57.007
-0.446,-0.620,-0.755,-70.618,-34.668,66.101
-0.316,-0.735,-0.594,-69.946,-5.676,67.566
-0.198,-0.815,-0.507,-65.796,16.418,63.110
-0.145,-0.868,-0.448,-60.852,26.123,53.284
-0.124,-0.873,-0.429,-56.519,26.184,41.077
-0.132,-0.876,-0.448,-53.894,20.447,28.198
-0.154,-0.846,-0.498,-53.528,11.597,16.663
-0.218,-0.797,-0.536,-55.115,2.380,7.324
-0.296,-0.747,-0.582,-57.678,-4.211,1.282
-0.362,-0.703,-0.615,-60.913,-8.972,1.038
-0.424,-0.675,-0.627,-65.735,-12.024,5.127
-0.490,-0.664,-0.626,-69.397,-12.329,11.230
